,symbol,?,#,Name,Price,24Hr%,7d%,Market Cap,Volume,Supply,7d,??,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd
0,BTC,,1.0,Bitcoin1BTCBuy,"$58,695.65",0.28,1.7,"$1,097,914,659,896","$67,206,573,7841,145,001 BTC","18,705,212 BTC",,,18705212.0,21000000.0,1101335548131.8557,25499756482.932716,58878.538673170646
1,ETH,,2.0,Ethereum2ETHBuy,"$3,901.15",0.85,30.21,"$451,788,535,191","$50,197,132,34912,867,282 ETH","115,809,211 ETH",,,115809211.249,0.0,453262904596.21265,20157794450.424706,3913.8761045669976
2,BNB,,3.0,Binance Coin3BNBBuy,$678.96,5.54,8.44,"$104,174,751,020","$4,703,590,6836,927,644 BNB","153,432,897 BNB",,,153432897.0,170532785.0,104229526121.98653,2796322150.9245033,679.3166795383296
3,DOGE,,4.0,Dogecoin4DOGE,$0.5645,13.82,46.52,"$73,114,313,280","$45,713,765,87180,987,715,174 DOGE","129,531,248,765 DOGE",,,129531248765.14555,0.0,73172044705.56445,26970495589.919952,0.5648987823643501
4,ADA,,5.0,Cardano5ADA,$1.77,10.46,31.96,"$56,529,702,824","$8,326,694,8134,705,912,276 ADA","31,948,309,441 ADA",,,31948309440.7478,45000000000.0,56742559743.45759,3263115625.9952283,1.7760739374549341
5,USDT,,6.0,Tether6USDTBuy,$0.9998,0.02,0.01,"$55,780,605,875","$178,302,687,943178,337,492,784 USDT","55,791,494,298 USDT",,,55791494297.80168,0.0,55886857198.91531,80803011199.19751,1.0017092731125754
6,XRP,,7.0,XRP7XRP,$1.58,0.68,0.24,"$55,492,368,376","$8,787,181,3015,559,381,286 XRP","35,108,326,973 XRP",,,45404028640.0,100000000000.0,72075808765.15083,3441538010.300742,1.5874320170270872
7,DOT,,8.0,Polkadot8DOTBuy,$41.10,2.58,11.26,"$38,487,825,019","$2,368,595,24557,635,781 DOT","936,536,479 DOT",,,991114997.92468,0.0,40737361157.34204,1023249865.4993459,41.10255746572597
8,BCH,,9.0,Bitcoin Cash9BCH,"$1,468.44",3.84,47.22,"$27,507,582,911","$6,371,732,4584,339,116 BCH","18,732,519 BCH",,,18732518.75,21000000.0,27417275556.871483,1099699442.1114717,1463.619277406114
9,LTC,,10.0,Litecoin10LTCBuy,$396.30,14.73,45.55,"$26,453,944,656","$10,956,205,48027,646,280 LTC","66,752,415 LTC",,,66752414.51538747,84000000.0,26513428632.594814,3974900369.763646,397.19055595334396
